"ParameterID","FeatureSet","Name","Question","PossibleValues","datatype","Derived","Map"
"Align.Pro-08","Align","Pronoun alignment overt neutral","Is there any overt neutral for Pronoun?","yes | no","""single-valued""","TRUE",
"Align.Pro-09","Align","Pronoun alignment tripartite","Is there any tripartite for Pronoun?","yes | no","""single-valued""","TRUE",
"Align.Pro-10","Align","Pronoun alignment horizontal","Is there any horizontal for Pronoun?","yes | no","""single-valued""","TRUE",
"Align.Pro-11","Align","Pronoun alignment sensitive","Is there any sensitive for Pronoun?","yes | no","""single-valued""","TRUE",
"Appr-01","Appr","Apprehensional morphology","Does the language have apprehensional morphology?","yes | no","""single-valued""","FALSE",
"Appr-02","Appr","Apprehensive","If yes to Appr.01, can (at least one of) the apprehensional morphemes be used in a construction that expresses the apprehensive function?","yes | no | NA","""single-valued""","FALSE",
"Appr-03","Appr","Apprehensive grammatical persons","If yes to Appr.02, what (subject A or S) grammatical persons is the apprehensive attested with?","NA | [ 1 , 2 , 3 ]","""single-valued""","FALSE",
"Appr-04","Appr","Apprehensive 1pl threat/warning","If the Apprehensive is attested with 1st person (subject), then is the semantics of the construction restricted?","threat only | warning only | any | NA","""single-valued""","FALSE",
"Appr-05","Appr","Apprehensional verb types","If yes to Appr.02, is it restricted to certain verb types?","no | direct control | other | NA","""single-valued""","FALSE",
"Appr-06","Appr","Precautioning","If yes to Appr.01, can (at least one of) the apprehensional morphemes be used in a construction that expresses the precautioning function?","yes | no | NA","""single-valued""","FALSE",
"Appr-07","Appr","Apprehensional reported speech","If Yes to Appr.06, does the precautioning construction sometimes require reported speech?","yes | no | NA","""single-valued""","FALSE",
"Appr-08","Appr","Lest or negative purposive","If yes to Appr.06, can you use the precautioning marker when you cannot avoid the undesirable event, but only its consequences?","yes | no | NA","""single-valued""","FALSE",
"Appr-09","Appr","Timitive","If yes to Appr.01, can (at least one of) the apprehensional morphemes be used in a construction that expresses the timitive function?","yes | no | NA","""single-valued""","FALSE",
"Appr-10","Appr","Timitive agent control","If yes to Appr.09, can the main verb be [-control], e.g. I fainted TIM[wolf]?","yes | no | NA","""single-valued""","FALSE",
"Appr-11","Appr","Fear complementation","If yes to Appr.01, can (at least one of) the apprehensional morphemes be used for fear complementation?","yes | no | NA","""single-valued""","FALSE",
"Appr-12","Appr","Apprehensional function list","How many apprehensional morphemes are there and how are they distributed over the four functions of the apprehensional domain?","NA | [ a & p & t & f ]","""single-valued""","FALSE",
"Appr-12a","Appr","Apprehensional count","How many apprehensional morphemes are present?","_number_","""integer""","TRUE",
"Appr-12b","Appr","Apprehensional functions","Which functions are covered by the language’s apprehensional morphemes, regardless of whether they are split among multiple morphemes?","NA | ; separated list of [ a, p, t, f ]","""multi-valued""","TRUE",
"Attr-01","Attr","Attributive part of speech","To what syntactic category do attributives used to modify nouns within a noun phrase belong?","adjective | noun | modifier | bound | verb-rel.pr | verb | NA","""single-valued""","FALSE",
"Attr-01a","Attr","Attributive class type","Is attributive modification of a noun done with nouns, verbs, or a part of speech dedicated to noun modification?","noun | verb | modifying pos | NA","""single-valued""","TRUE",
"Attr-02","Attr","Adjective class open","If the answer to Attr.01 was <adjective>, is the adjective category an open or a closed class?","NA | open | open but | closed","""single-valued""","FALSE",
"Attr-03","Attr","Verbal attributive order","If the answer to Attr.02 was <closed>, then what is the word order for deverbal adjectives and nouns?","NA | adj-n | n-adj | no dominant order","""single-valued""","FALSE",
"Attr-04","Attr","Closed adjective order","If the answer to Attr.02 was <open but>, what is the basic word order for the second class of attributive Adjective and Noun?","NA | adj-n | n-adj | no dominant order","""single-valued""","FALSE",
"CoPart-01","CoPart","Co-participation","Is there a verbal marker dedicated to co-participation?","yes | no","""single-valued""","FALSE",
"Cor-01","Cor","Coronal plosives","How many places of articulation does the language have for coronal plosives?","_number_","""integer""","FALSE","TRUE"
"Cor-01a","Cor","Coronal plosives = 1 | > 1","Are there 1 or more than 1 distinctions among coronal plosives?","1 | more than 1","""single-valued""","TRUE","FALSE"
"Cor-01b","Cor","Coronal plosives <= 2 | > 2","Are there up to 2 or more than 2 distinctions among coronal plosives?","up to 2 | more than 2","""single-valued""","TRUE","FALSE"
"Cor-02","Cor","Sibilant affricates","How many places of articulation does the language have for sibilant affricates?","_number_","""integer""","FALSE","TRUE"
"Cor-02a","Cor","Sibilant affricates present","Are there sibilant affricates at all?","no | yes","""single-valued""","TRUE","FALSE"
"Cor-02b","Cor","Sibilant affricates <= 1 | > 1","Are there up to 1 or more than 1 distinctions among sibilant affricates?","up to 1 | more than 1","""single-valued""","TRUE","FALSE"
"Cor-02c","Cor","Sibilant affricates <= 2 | > 2","Are there up to 2 or more than 2 distinctions among sibilant affricates?","up to 2 | more than 2","""single-valued""","TRUE","FALSE"
"Cor-02d","Cor","Sibilant affricates <= 3 | > 3","Are there up to 3 or more than 3 distinctions among sibilant affricates?","up to 3 | more than 3","""single-valued""","TRUE","FALSE"
"Cor-03","Cor","Sibilant fricatives","How many places of articulation does the language have for sibilant fricatives?","_number_","""integer""","FALSE","TRUE"
"Cor-03a","Cor","Sibilant fricatives present","Are there sibilant fricatives at all?","no | yes","""single-valued""","TRUE","FALSE"
"Cor-03b","Cor","Sibilant fricatives <= 1 | > 1","Are there up to 1 or more than 1 distinctions among sibilant fricatives?","up to 1 | more than 1","""single-valued""","TRUE","FALSE"
"Cor-03c","Cor","Sibilant fricatives <= 2 | > 2","Are there up to 2 or more than 2 distinctions among sibilant fricatives?","up to 2 | more than 2","""single-valued""","TRUE","FALSE"
"Cor-04","Cor","Retroflex plosive","Does the language have at least one retroflex plosive?","yes | no","""single-valued""","FALSE","TRUE"
"Cor-05","Cor","Dental plosive","Does the language have at least one dental stop?","yes | no","""single-valued""","FALSE","TRUE"
"Cor-06","Cor","Dental fricative","Does the language have at least one phonemic dental fricative (θ, ð)?","yes | no","""single-valued""","FALSE","TRUE"
"Cor-07","Cor","Retroflex sibilant","Does the language have at least one retroflex sibilant?","yes | no","""single-valued""","FALSE","TRUE"
"Cor-08","Cor","Presence of /ʂ/","If yes to Cor.07, is one of those retroflex sibilants /ʂ/?","yes | no | NA","""single-valued""","FALSE","TRUE"
"Cor-09","Cor","Presence of /ʐ/","If yes to Cor.07, is one of those retroflex sibilants /ʐ/?","yes | no | NA","""single-valued""","FALSE","TRUE"
"Dem-01","Dem","Deictic modifiers","Does the language have deictic modifiers which can directly modify a noun within the noun phrase?","yes | no","""single-valued""","FALSE",
"Dem-02","Dem","Deictic distance","How many levels of distance do adnominal demonstratives have?","_number_","""integer""","FALSE",
"Dem-02a","Dem","Presence of deictic distance","Is a distance distinction included in the semantic properties of demonstratives?","yes | no","""single-valued""","TRUE",
"Dem-02b","Dem","Deictic distance = 2 | > 2","Are there either 2 or more than 2 distance levels distinguished in demonstratives?","2 | more than 2 | NA","""single-valued""","TRUE",
"Dem-02c","Dem","Deictic distance <= 3 | > 3","Are there up to 3 or more than 3 distance levels distinguished in demonstratives?","up to 3 | more than 3 | NA","""single-valued""","TRUE",
"Dem-02d","Dem","Deictic distance <= 4 | > 4","Are there up to 4 or more than 4 distance levels distinguished in demonstratives?","up to 4 | more than 4 | NA","""single-valued""","TRUE",
"Dem-03","Dem","Deictic (in)visibility","Do adnominal demonstratives distinguish between visible and invisible entities?","yes | no","""single-valued""","FALSE",
"Dem-04","Dem","Deictic position/posture","Do adnominal demonstratives distinguish position in space or posture of the entity?","yes | no","""single-valued""","FALSE",
"Dem-05","Dem","Deictic movement","Do adnominal demonstratives distinguish movement of the entity?","yes | no","""single-valued""","FALSE",
"Dem-06","Dem","Deictic altitude","Do adnominal demonstratives distinguish altitude?","yes | no","""single-valued""","FALSE",
"Dem-07","Dem","Pronominal deictic","Does the language have pronominal demonstratives?","yes | no","""single-valued""","FALSE",
"Dem-08","Dem","Pro- & ad-nominal deictics are the same","If yes to Dem.07, do pronominal demonstratives have the same semantic distinctions with the main adnominal deictic system (the one coded for in the previous questions)?","yes | no | NA","""single-valued""","FALSE",
"Gend-01","Gend","Genderlect","Is there a categorical genderlect distinction?","no | yes","""single-valued""","FALSE",
"Gend-02","Gend","Genderlect phonology","If Yes to Gend.01, is there a categorical genderlect distinction within phonetics or phonology?","no | yes | NA","""single-valued""","FALSE",
"Gend-03","Gend","Genderlect phonology indexation","If Yes to Gend.02, of which speech act participant does the phonetic/phonological distinction index the gender ?","speaker | addressee | both | mixed | NA","""single-valued""","FALSE",
"Gend-04","Gend","Genderlect morphology","If Yes to Gend.01, is there a categorical genderlect distinction conveyed by grammatical morphemes?","no | yes | NA","""single-valued""","FALSE",
"Gend-05","Gend","Genderlect morphology indexation","If Yes to Gend.04, of which speech act participant does the morphological distinction indexes the gender?","speaker | addressee | both | mixed | NA","""single-valued""","FALSE",
"Gend-06","Gend","Genderlect morphology intersubjectivity","If yes to Gend.04, is the morphological distinction encoded in elements participating to (inter)subjectivity?","no | non exclusively | exclusively | NA","""single-valued""","FALSE",
"Gend-07","Gend","Genderlect lexicon","If Yes to Gend.01, is there a categorical genderlect distinction within the lexicon?","no | yes | NA","""single-valued""","FALSE",
"Gend-08","Gend","Genderlect lexicon number","If Yes to Gend.07, for how many words is the categorical genderlect distinction in the lexicon found?","1-5 | 6-20 | 21 and more | NA","""single-valued""","FALSE",
"Gend-09","Gend","Genderlect lexicon indexation","If Yes to Gend.07, of which speech act participant does the lexical distinction index the gender?","speaker | addressee | both | mixed | NA","""single-valued""","FALSE",
"Gend-10","Gend","Genderlect lexicon intersubjectivity","If yes to Gend.07, is the lexical distinction encoded in elements participating to (inter)subjectivity?","no | non exclusively | exclusively | NA","""single-valued""","FALSE",
"Gend-11","Gend","Genderlect lexicon address","If Yes to Gend.01/07, does the lexical distinction occur in address terms?","no | non exclusively | exclusively | NA","""single-valued""","FALSE",
"Gend-12a","Gend","Genderlect speech act participant","If Yes to Gend.01, of which speech act participant do the indexical markers index the gender?","NA | speaker | addressee | both | mixed","""single-valued""","TRUE",
"Glot-01","Glot","Glottalized plosives","Does the language have a phonemic distinction between glottalized and non-glottalized plosives?","yes | no","""single-valued""","FALSE","TRUE"
"Glot-01a","Glot","Glottalized obstruents","Does the language have a phonemic distinction between glottalized and non-glottalized obstruents?","yes | no","""single-valued""","TRUE","TRUE"
"Glot-02","Glot","Glottalized affricates","Does the language have a phonemic distinction between glottalized and non-glottalized affricates?","yes | no","""single-valued""","FALSE","TRUE"
"Glot-03","Glot","Glottalized fricatives","Does the language have a phonemic distinction between glottalized and non-glottalized fricatives?","yes | no","""single-valued""","FALSE","TRUE"
"Glot-03a","Glot","Glottalized fricatives if obstruents","If the language has glottalized obstruents, does it also have a phonemic distinction between glottalized and non-glottalized fricatives?","yes | no | NA","""single-valued""","TRUE","TRUE"
"Glot-04","Glot","Glottalized nasals","Does the language have a phonemic distinction between glottalized and non-glottalized nasals?","yes | no","""single-valued""","FALSE","TRUE"
"Glot-04a","Glot","Glottalized sonorants","Does the language have a phonemic distinction between glottalized and non-glottalized resonants?","yes | no","""single-valued""","TRUE","TRUE"
"Glot-04b","Glot","Glottalized nasals if sonorants","If the language has glottalized resonants, does it have a phonemic distinction between glottalized and non-glottalized nasals?","yes | no | NA","""single-valued""","TRUE","TRUE"
"Glot-05","Glot","Glottalized liquids","Does the language have a phonemic distinction between glottalized and non-glottalized liquids?","yes | no","""single-valued""","FALSE","TRUE"
"Glot-05a","Glot","Glottalized liquids if sonorants","If the language has glottalized resonants, does it have a phonemic distinction between glottalized and non-glottalized liquids?","yes | no | NA","""single-valued""","TRUE","TRUE"
"Glot-06","Glot","Glottalized glides","Does the language have a phonemic distinction between glottalized and non-glottalized glides?","yes | no","""single-valued""","FALSE","TRUE"
"Glot-06a","Glot","Glottalized glides if sonorants","If the language has glottalized resonants, does it have a phonemic distinction between glottalized and non-glottalized glides?","yes | no | NA","""single-valued""","TRUE","TRUE"
"Lat-01","Lat","Laterals","Does the language have a lateral approximant phoneme /l/ or an allophone [l] and if so, with what other allophones does this /l/ or [l] alternate?","laterals or glides | rhotic | n or d | n or d and rhotic | no","""single-valued""","FALSE","TRUE"
"Lat-01a","Lat","Allophonic [l]","Does the language have an allophonic l?","yes | no","""single-valued""","TRUE","TRUE"
"Lat-01b","Lat","Phonemic /l/","Does the language have a phonemic l which alternates only with laterals and glides?","yes | no","""single-valued""","TRUE","TRUE"
"Lat-01c","Lat","[l] allophones","If the language has an allophonic /l/, what does this allophone alternate with?","laterals or glides | rhotic | n or d | NA","""single-valued""","TRUE","TRUE"
"Lat-02","Lat","Voiceless lateral","Does the language have a phonemic voiceless lateral approximant /l̥/?","yes | no","""single-valued""","FALSE","TRUE"
"Lat-02a","Lat","Voiceless lateral continuant","Does the language have a phonemic voiceless lateral continuant?","yes | no","""single-valued""","TRUE","TRUE"
"Lat-02b","Lat","/ɬ/ or /l̥/","If yes to Lat.02a, which voiceless lateral continuant does the language have?","fricative | voiceless-approximant | NA","""single-valued""","TRUE","TRUE"
"Lat-03","Lat","Lateral fricative","Does the language have a phonemic lateral fricative /ɬ/?","yes | no","""single-valued""","FALSE","TRUE"
"Lat-04","Lat","Lateral affricate plosive","Does the language have a phonemic alveolar lateral affricate /tɬ/?","yes | no","""single-valued""","FALSE","TRUE"
"Lat-04a","Lat","Lateral affricates","Does the language have either tɬ or tɬ’?","yes | no","""single-valued""","TRUE","TRUE"
"Lat-04b","Lat","/tɬ/ if lateral affricates","Does the language have tɬ, if yes to Lat.04a?","yes | no | NA","""single-valued""","TRUE","TRUE"
"Lat-05","Lat","Lateral affricate ejective","Does the language have a phonemic alveolar lateral ejective affricate /tɬ’/?","yes | no","""single-valued""","FALSE","TRUE"
"Lat-05a","Lat","/tɬ'/ if lateral affricates","Does the language have tɬ’, if yes to Lat.04a?","yes | no | NA","""single-valued""","TRUE","TRUE"
"Lat-06","Lat","Palatal lateral","Does the language have a phonemic palatal lateral approximant /ʎ/?","yes | no","""single-valued""","FALSE","TRUE"
"MonPl-01","MonPl","Monoexponential plurals","Is there at least one monoexponential verbal plural marker on the verb (or clause), i.e. separate from person marking, that applies to at least one argument?","yes | no","""single-valued""","FALSE",
"MonPl-02","MonPl","Monoexponential plural irregularity","If yes to Q1, is/are the monoexponential plural markers formally irregularly applied across the lexicon? (For example, there are multiple allomorphs which are lexically specific)","yes | no | NA","""single-valued""","FALSE",
"MonPl-03","MonPl","Monoexponential plural single argument","If yes to Q1, is there a monoexponential plural marker that is dedicated to one argument only?","s | a | p | no | NA","""single-valued""","FALSE",
"MonPl-03a","MonPl","Monoexponential plural S","If yes to Q1, is there a monoexponential plural marker that is dedicated to S?","yes | no | NA","""single-valued""","TRUE",
"MonPl-03b","MonPl","Monoexponential plural A","If yes to Q1, is there a monoexponential plural marker that is dedicated to A?","yes | no | NA","""single-valued""","TRUE",
"MonPl-03c","MonPl","Monoexponential plural P","If yes to Q1, is there a monoexponential plural marker that is dedicated to P?","yes | no | NA","""single-valued""","TRUE",
"MonPl-04","MonPl","Monoexponential plural multiargument","If yes to Q1, is there a monoexponential verbal plural marker that marks at least two of S, A, P, and E?","yes | no | NA","""single-valued""","FALSE",
"MonPl-05","MonPl","Monoexponential plural event","If yes to Q4, can the monoexponential verbal plural marker indicate event (E) plurality?","yes | no | NA","""single-valued""","FALSE",
"MonPl-06","MonPl","Monoexponential plural nonevent","If yes to Q4 and at least one marker does not mark event pluractionality (E), what role alignments do/does the marker(s) have?","NA | [ sa , sp , sap ]","""single-valued""","FALSE",
"MonPl-06a","MonPl","Monoexponential plural SA","If yes to Q1, is there a monoexponential plural marker that is dedicated to SA?","yes | no | NA","""single-valued""","TRUE",
"MonPl-06b","MonPl","Monoexponential plural SP","If yes to Q1, is there a monoexponential plural marker that is dedicated to SP?","yes | no | NA","""single-valued""","TRUE",
"MonPl-06c","MonPl","Monoexponential plural SAP","If yes to Q1, is there a monoexponential plural marker that is dedicated to SAP?","yes | no | NA","""single-valued""","TRUE",
"MonPl-07","MonPl","Monoexponential plural list","If yes to Q1, where do the monoexponential plural marker(s) appear in the language? (summary question)","NA | [ sape & oblique & subordinate clause & noun & pronoun & adjective & demonstrative & numeral & particle & adposition & adverb ]","""single-valued""","FALSE",
"MonPl-07a","MonPl","Monoexponential plural parts of speech","If there is at least one monoexponential verbal plural, on what other parts of speech can it/they mark plurality (""other"" = particle, numeral, adposition)?","NA | None | ; separated list of [ noun, pronoun, adjective, demonstrative, other ]","""multi-valued""","TRUE",
"MonPl-07b","MonPl","Monoexponential plural S/A/P list","If there is at least one monoexponential verbal plural, what combinations of S, A, and P are targeted by each of the monoexponential verbal plurals in the language, regardless of whether they also mark event plurality?","NA | ; separated list of [ s, a, p, sa, sp, sap, ap ]","""multi-valued""","TRUE",
"MonPl-07c","MonPl","Monoexponential plural with nouns","If there is at least one monoexponential verbal plural, is one of these markers also used to mark plurality on nouns?","yes | no | NA","""single-valued""","TRUE",
"NounPoss-01","NounPoss","default class valency","What valency type is the default class?","Optionally possessed | Obligatorily possessed | Non-possessible","""single-valued""","TRUE",
"NounPoss-02","NounPoss","default class construction","How is the default class possessed?","; list of [ NULL, CLASS, CLAUSE, MARKER, JUXT ]","""multi-valued""","TRUE",
"NounPoss-03","NounPoss","inalienable class","Is there at least one inalienably possessed class?","Yes | No","""single-valued""","TRUE",
"NounPoss-04","NounPoss","inalienable class valency","If yes to NounPoss.03, list their valency types.","; list of [Obligatorily possessed, Optionally possessed, Non-possessible] | NA","""multi-valued""","TRUE",
"NounPoss-05","NounPoss","inalienable class unpossession","If yes to NounPoss.03, is there a special construction for the un-possession of the inalienable class(es) (including null)?","Yes | No | Yes and No | NA","""single-valued""","TRUE",
"NounPoss-06","NounPoss","inalienable class unpossession construction","If yes to NounPoss.05, what is this un-possession construction?","; list of [ MARKER, NULL ] | NA","""multi-valued""","TRUE",
"NounPoss-07","NounPoss","inalienable class unpossession construction type","If 'MARKER' to NounPoss.06, is it a person marker or a dedicated un-possessed marker?","SPECIAL MARKER | PERSON MARKER | BOTH | NA","""single-valued""","TRUE",
"NounPoss-08","NounPoss","inalienable class unpossession construction person","If ‘PERSON MARKER’ or ‘BOTH’ to NounPoss.07, which person is used?","NA | [ SPECIAL MARKER, ARTICLE, 1SG, 1PL, 1INCL, 3, 3SG, 3SG.M, 3.INAN, 3.INDEF ]","""single-valued""","TRUE",
"NounPoss-09","NounPoss","inalienable class construction","If yes to NounPoss.03, with what construction type is the inalienable class possessed?","; list of [ NULL, CLASS, CLAUSE, MARKER, JUXT ] | NA","""multi-valued""","TRUE",
"NounPoss-10","NounPoss","nonpossessible class","Is there a conceptually non-possessible class?","Yes | No","""single-valued""","TRUE",
"NounPoss-101","NounPoss","formal classes","How many noun possession classes are there?","_number_","""integer""","TRUE",
"NounPoss-102","NounPoss","non-possessible valence","Is there some possession class that has a non-possessible valency (only access to indirect possession constructions)?","yes | no","""single-valued""","TRUE",
"NounPoss-102a","NounPoss","non-possessible valence syntactic possessibility","If yes to 102, can at least one non-possessible class be possessed at all?","NA | yes | no","""single-valued""","TRUE",
"NounPoss-102b","NounPoss","non-possessible valence syntactic possession type","If yes to 102a, which type of indirect possession does the class have?","NA | CLAUSE | CLASS","""single-valued""","TRUE",
"NounPoss-103","NounPoss","obligatorily possessed","Is there some possession class that has an obligatorily possessed valency?","yes | no","""single-valued""","TRUE",
"NounPoss-103a","NounPoss","obligatorily possessed possession type","If yes to 103, what is the type of its possession construction?","NA | JUXT | LINKER | PSSD | PSSR | PSSR-PSSD | MARKER","""single-valued""","TRUE",
"NounPoss-103b","NounPoss","obligatorily possessed unpossession","If yes to 103, how is the noun un-possessed?","NA | MARKER | NULL","""single-valued""","TRUE",
"NounPoss-104","NounPoss","conceputally inalienable","Is there at least one class of conceptually inalienable nouns?","yes | no","""single-valued""","TRUE",
"NounPoss-104a","NounPoss","inalienable kinship","Are kinship terms members of a conceptually inalienable class?","NA | yes | no","""single-valued""","TRUE",
"NounPoss-104a1","NounPoss","inalienable kinship solo","If kinship terms are members of a conceptually inalienable class, are they the sole member of at least one class?","NA | yes | no","""single-valued""","TRUE",
"NounPoss-104b","NounPoss","inalienable body","Are body parts members of a conceptually inalienable class?","NA | yes | no","""single-valued""","TRUE",
"NounPoss-104b1","NounPoss","inalienable body solo","If body parts are members of a conceptually inalienable class, are they the sole member (or only together with parts or plant parts) of at least one class?","NA | yes | no","""single-valued""","TRUE",
"NounPoss-104c","NounPoss","inalienable plant parts","Are plant parts members of a conceptually inalienable class?","NA | yes | no","""single-valued""","TRUE",
"NounPoss-104d","NounPoss","inalienable intimate property","Is intimate property a member of a conceptually inalienable class?","NA | yes | no","""single-valued""","TRUE",
"NounPoss-104e","NounPoss","inalienable possession construction","What is the possession construction type of the inalienable noun classes, privileging the construction unique to the class, if one exists?","NA | JUXT | MARKER | LINKER | INDIRECT","""single-valued""","TRUE",
"NounPoss-104f","NounPoss","inalienable possession locus","If the construction type “MARKER” exists for at least one conceptually inalienable class, what is the locus of marking?","NA | PSSD | PSSR","""single-valued""","TRUE",
"NounPoss-105","NounPoss","conceputally non-possessible","Is there at least one class of conceptually non-possessible nouns?","yes | no","""single-valued""","TRUE",
"NounPoss-105a","NounPoss","non-possessible animals","Are animals a member of a conceptually inalienable class?","NA | yes | no","""single-valued""","TRUE",
"NounPoss-105b","NounPoss","non-possessible plants","Are plants a member of a conceptually inalienable class?","NA | yes | no","""single-valued""","TRUE",
"NounPoss-105c","NounPoss","non-possessible nature","Is inanimate nature a member of a conceptually inalienable class?","NA | yes | no","""single-valued""","TRUE",
"NounPoss-105d","NounPoss","non-possessible possession construction","What is the construction type with which the non-possessible nouns are possessed?","NA | NULL | CLAUSE | CLASS | DIRECT","""single-valued""","TRUE",
"NounPoss-106","NounPoss","default possession course-grained","What is the possession construction supertype the default class?","DIRECT | INDIRECT | NA","""single-valued""","TRUE",
"NounPoss-106a","NounPoss","default possession direct type","If 6 is “DIRECT”, which type of construction is present?","NA | JUXT | LINKER | MARKER | PSSR | PSSD | PSSR-PSSD","""single-valued""","TRUE",
"NounPoss-106b","NounPoss","default possession indirect type","If 6 is “INDIRECT”, which type of construction is present?","NA | CLAUSE | CLASS","""single-valued""","TRUE",
"NounPoss-107","NounPoss","possession agreement","Does any construction of nominal possession include agreement?","yes | no","""single-valued""","TRUE",
"NounPoss-107a","NounPoss","possession agreement semantics","Which semantic classes have an agreeing possession construction?","NA | ; separated list of [ default & non-possessible & inalienable & mixed ]","""multi-valued""","TRUE",
"NounPoss-107d","NounPoss","possession agreement target","With which role does the construction(s) agree?","NA | PSSR | PSSD","""single-valued""","TRUE",
"NounPoss-108","NounPoss","possession JUXT","Does any possession class use the JUXT construction?","yes | no","""single-valued""","TRUE",
"NounPoss-108a","NounPoss","possession JUXT semantics","Which semantic classes use JUXT?","NA | ; separated list of [ default & non-possessible & inalienable & mixed ]","""multi-valued""","TRUE",
"NounPoss-109","NounPoss","possession PSSD","Does any possession class use the PSSD construction?","yes | no","""single-valued""","TRUE",
"NounPoss-109a","NounPoss","possession PSSD semantics","Which semantic classes use PSSD?","NA | ; separated list of [ default & non-possessible & inalienable & mixed ]","""multi-valued""","TRUE",
